MANUFACTURER_PART_NUMBER,COST_SEGMENT,MANUFACTURER,DESCRIPTION,SERIAL_CONTROL,MARKET_PRICE,LIST_PRICE,ATTRIBUTE8
CUCILYNC-UWL-RTU,Actual,324,CUCILYNC UWL Right to Use Certificate,1,0,0,CUCILYNC-UWL-RTU
LIC-EXP-GW,Actual,324,Enable GW Feature (H323-SIP),1,0,0,LIC-EXP-GW
LIC-EXP-E-PAK,Actual,324,"Expressway Series, Expressway-E PAK",1,0,0,LIC-EXP-E-PAK
CUCICONN-UWL-RTU,Actual,324,UC Integration for WebEx Connect Right to Use,1,0,0,CUCICONN-UWL-RTU
LIC-EXP-E,Actual,324,Enable Expressway-E Feature Set,1,0,0,LIC-EXP-E
WEBCOMM2-UWL-RTU,Actual,324,Cisco Web Communicator 2.x for CUWL - RTU,1,0,0,WEBCOMM2-UWL-RTU
NEW-UWL-STD,Actual,324,"New CUWL Standard Edition User, 1 User",1,325,65,NEW-UWL-STD
UCAPPSW-10-X-XU-K9,Actual,324,Version 10.x - Export Unrestricted,1,0,0,UCAPPSW-10-X-XU-K9
CCX-10-LIC-K9,Actual,324,CCX 10.0 New Licenses,1,0,0,CCX-10-LIC-K9
CON-ECMU-CCX10LK9,Actual,324,SWSS UPGRADES CCX 10.0 New Licenses,1,0,0,CON-ECMU-CCX10LK9
CCX-10-N-P-LIC,Actual,324,CCX 10.0 PRE Seat Qty 1 LICENSE ONLY,1,1850,370,CCX-10-N-P-LIC
CON-ECMU-CCX10NPL,Actual,324,SWSS UPGRADES CCX 10.0 PRE Seat Qty 1 LICENSE ONLY,1,296,88.8,CON-ECMU-CCX10NPL
CCX-10-P-SVR-LIC,Actual,324,CCX 10.0 PRE Server License,1,0,0,CCX-10-P-SVR-LIC
CCX-10-PAK,Actual,324,CCX 10.0 autoexpanded  PAK,1,0,0,CCX-10-PAK
L-CUAC10X,Actual,324,Cisco Unified Attendant Consoles 10.x,1,0,0,L-CUAC10X
CON-ECMU-CUACX10M,Actual,324,SWSS UPGRADES Cisco Unified Attendant Consoles 10.x,1,0,0,CON-ECMU-CUACX10M
L-CUAC10X-STND,Actual,324,Cisco Unified Attendant Console Standard 10.x - 1 Lic,1,995,199,L-CUAC10X-STND
CON-ECMU-CUAC10XS,Actual,324,SWSS UPGRADES Cisco Unified Attend,1,119,35.7,CON-ECMU-CUAC10XS
R-EMRGNCY-RSPNDR,Actual,324,EMRGNCY RSPNDR ESD,1,0,0,R-EMRGNCY-RSPNDR
ER10-USR-1,Actual,324,EMRGNCY RSPNDR USR LIC 1 PHN FOR NEW 10X SYSTEM,1,20,4,ER10-USR-1
ER10-PAK,Actual,324,EMRGNCY RSPNDR 10.X PAK,1,0,0,ER10-PAK
ER10-SW-K9,Actual,324,EMRGNCY RSPNDR 10 SW NEW,1,0,0,ER10-SW-K9
VMW-VC5-STD-1A=,Actual,324,"VMware vCenter 5 Server Standard, 1 yr support required",1,9366,3652.74,VMW-VC5-STD-1A=
CON-ISV1-VC5STD1A,Actual,324,"ISV 24X7 VMware vCenterServer Standard, List Price is ANNUAL",1,1624,487.2,CON-ISV1-VC5STD1A
UCS-VMW-TERMS,Actual,324,"Acceptance of Terms, Standalone VMW License for UCS Servers",1,0,0,UCS-VMW-TERMS
