SOURCE,PO_CREATED,SUPPLIER,SSPN_PO,SSPN_LINE,EXT_SYS_REF,EXT_SYS_LINE
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764337,2,0001184418-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764337,1,0001184418-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764535,2,0001184426-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764535,1,0001184426-1,4
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766360,1,0001184441-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103765397,1,0001184447-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766324,1,0001184449-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766317,2,0001184476-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766317,1,0001184476-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766370,2,0001184491-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766370,1,0001184491-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103765287,1,0001184531-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103765362,1,0001184544-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103765361,1,0001184564-1,2
MSRI,4/1/2015,COMP VIEW INC,1103765479,1,0001184600-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763831,1,0001184782-1,3
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763831,7,0001184782-1,4
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763831,4,0001184782-1,5
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763831,2,0001184782-1,6
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763831,5,0001184782-1,6w
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763831,3,0001184782-1,7
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763831,6,0001184782-1,7w
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766026,1,0001184795-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763428,1,0001184801-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764374,1,0001184830-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764534,1,0001184832-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764521,1,0001184833-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763824,1,0001184838-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764407,1,0001184861-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764532,1,0001184916-2,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103765441,1,0001184953-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103765298,1,0001184962-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103765299,1,0001184968-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103765437,1,0001184972-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766101,2,0001184993-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766101,1,0001184993-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103765364,1,0001184994-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766004,2,0001185000-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766004,1,0001185000-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766004,4,0001185000-1,3
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766004,3,0001185000-1,4
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766162,2,0001185008-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766162,1,0001185008-1,3
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766162,4,0001185008-1,4
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766162,3,0001185008-1,5
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103765486,1,0001185017-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766028,1,0001185023-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766028,3,0001185023-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766028,2,0001185023-1,3
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766028,4,0001185023-1,4
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103765461,1,0001185028-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103765459,1,0001185034-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103765483,1,0001185035-1,1
